46.36.65.10,3128
42.115.91.152,53281
119.15.171.81,53281
200.162.142.178,3128
158.69.170.220,3128
37.120.250.132,8080
89.236.17.106,3128
103.206.254.170,53281
103.77.10.105,8080
167.250.177.18,53281
180.183.81.3,8081
192.99.98.159,3128
163.53.32.222,53281
210.200.141.155,80
197.232.51.228,53281
103.248.248.235,53281
138.204.145.39,80
203.129.114.86,8080
205.202.179.71,8080
61.6.113.72,53281
187.243.253.2,8080
81.10.172.142,3128
52.11.203.152,8083
195.190.124.202,8080
96.239.193.114,8080
167.114.45.191,80
37.151.43.202,3128
138.197.166.164,8080
103.78.75.204,53281
165.16.67.163,8080
118.70.219.124,53281
196.43.197.26,80
66.70.191.215,1080
186.46.94.18,53281
14.203.99.67,8080
195.9.165.233,3128
163.172.86.64,3128
144.217.104.145,8080
117.102.88.130,53281
196.52.45.78,53281
131.221.253.10,53281
36.37.135.71,53281
62.210.71.225,8080
181.211.187.250,53281
149.56.42.236,3128
177.128.149.234,53281
144.217.195.72,80
190.7.149.51,53281
158.69.31.45,3128
103.25.195.249,53281
144.217.33.52,3128
185.171.60.26,8080
177.128.155.167,53281
107.17.92.18,8080
109.195.231.236,53281
34.213.140.199,80
213.59.160.50,3128
177.128.149.167,53281
