144.217.195.72,80
96.9.69.167,53281
138.197.166.164,8080
13.228.221.8,3128
221.133.44.142,8080
163.172.86.64,3128
14.203.99.67,8080
163.121.188.3,8080
167.114.82.169,80
144.217.104.145,8080
62.210.71.225,8080
163.121.188.2,8080
181.211.101.226,53281
177.67.83.145,8080
202.74.245.86,53281
158.69.170.220,3128
142.4.204.69,3128
200.162.142.178,3128
89.236.17.106,3128
195.9.165.233,3128
93.174.88.103,3128
149.56.44.146,9201
210.147.203.97,80
61.6.69.110,53281
52.11.203.152,8083
109.195.231.236,53281
66.70.191.215,1080
158.69.31.45,3128
96.239.193.114,8080
202.40.180.22,53281
41.33.200.75,8080
157.119.213.41,53281
103.78.80.146,53281
103.77.10.105,8080
118.69.140.108,53281
137.74.254.198,3128
45.6.37.241,3128
96.9.69.164,53281
14.139.248.17,80
45.77.80.82,9999
144.217.33.52,3128
43.245.216.32,53281
37.151.43.202,3128
177.86.105.254,53281
103.206.161.235,53281
170.0.69.240,53281
114.199.117.50,53281
89.191.131.180,8080
187.110.213.74,53281
36.66.231.113,3128
46.36.65.10,3128
178.62.75.161,8118
160.202.159.254,53281
41.205.36.88,80
213.59.160.50,3128
61.6.37.80,53281
149.202.34.104,3128
195.13.50.211,8118
170.0.69.241,53281
81.10.172.142,3128
103.25.195.249,53281
46.101.27.218,8118
14.102.189.31,53281
