46.166.176.187,3128
158.58.171.136,3128
79.137.80.210,3128
163.172.140.8,3128
167.114.150.82,8080
180.250.159.67,80
163.172.146.73,3128
185.145.131.124,3128
34.208.47.183,80
46.166.176.171,3128
82.146.46.159,3128
46.166.176.189,3128
109.238.2.20,3128
82.146.47.118,3128
163.121.188.3,8080
46.166.176.172,3128
68.168.221.146,3128
46.166.129.226,3128
158.58.170.129,3128
213.152.165.16,3128
95.143.192.200,80
213.152.165.12,3128
82.146.46.208,3128
46.166.176.182,3128
46.166.176.169,3128
212.237.36.234,3128
14.63.226.80,80
200.162.142.178,3128
213.152.165.13,3128
144.217.31.225,3128
46.166.176.178,3128
46.166.176.188,3128
95.143.192.191,80
46.163.119.138,3128
163.172.168.141,3128
209.212.253.18,80
213.152.165.14,3128
117.6.3.223,3128
187.86.129.101,8080
213.152.165.9,3128
95.188.208.191,8080
177.67.83.62,8080
94.130.14.146,31288
82.146.43.185,3128
177.67.82.139,8080
144.217.248.180,80
185.82.217.45,3128
213.152.165.10,3128
213.152.165.15,3128
149.56.89.166,3128
221.133.44.142,8080
41.205.36.88,80
89.236.17.106,3128
189.100.91.175,10004
163.121.188.2,8080
45.55.174.40,8118
45.55.68.74,8118
137.59.44.47,8080
186.249.209.172,3128
178.210.52.170,53281
36.67.77.131,53281
138.204.145.39,80
61.6.144.101,53281
125.62.193.18,53281
201.86.162.147,8080
94.55.234.237,808
176.120.215.66,53281
103.200.5.90,3128
149.202.34.104,3128
142.4.204.69,3128
51.254.16.106,8080
167.205.1.101,8080
149.56.155.159,3128
148.251.133.60,3128
95.67.57.54,3129
45.55.211.109,8118
138.197.175.105,8081
103.226.202.50,53281
61.6.137.255,53281
125.62.194.153,53281
